Project Title,Submission Url,Project Status,Judging Status,Highest Step Completed,Project Created At,About The Project,"""Try it out"" Links",Video Demo Link,Opt-In Prizes,Built With,Notes,Team Colleges/Universities,Additional Team Member Count,Body,Electrical,Design,Software
Beautify,https://robotech2022.devpost.com/submissions/317806-beautify,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 19:03:46,"Inspiration

Beautify was largely inspired by three big passions we all shared. The first was our belief in promoting cleanup for the environment and improving the health of our community. The second was in the power of collaborative efforts between people and friends to accomplish significant things. And lastly, in exploring new areas around us that are often overlooked. In particular, the idea of Pokemon Go really provided inspiration for its ability to allow people to visit new places and meet new people while having fun. 

What it does

At it's core, Beautify is an app that aims to encourage people to clean up and ""beautify"" the community by picking up litter or removing debris. Using an interactive map, players can travel to predetermined locations where they can help in cleaning up environmental waste and help reduce pollution. Users are encouraged to help clean up through a rewards system where they can earn points to redeem prizes such as free trip to the museum or a discount on a local favorite coffee shop. The app includes an image verification system to all users to submit pictures of their progress, as well as to identify areas to clean up. 

How we built it

To generate the interactive map containing dynamic site locations, a MongoDB Atlas cluster was created to store location information such as name and coordinates. Interacting with the database is a custom made RESTful API which performs CRUD operations (Create, Read, Update, Destroy) on the collections. This API interacts with the Beautify App to provide nearby cleanup site locations was written with C# and utilizes the PyMongo library for processing. The Beautify app implements this API, along with several Google APIs for user location and map data, and computes all user information locally. It was written in Kotlin on Android Studio, and was contributed to by all teammates through Git. Tensorflow lite was also used to train a model to detect waste from images, and would be used to verify photos taken in the Beautify App.

Challenges we ran into

Our team of three freshmen, with two aerospace majors and one computer science, did not have any prior experience in the realm of Android app development. It was definitely a steep learning curve learning how to use MongoDB, coding the RESTful web API in C#, applying beginner Tensorflow knowledge to train a trash-detecting model, and building an Android app in Android Studio coded in Kotlin, all from scratch. After 36 hours, complete with an all-nighter together at the library, we overcame error after error to fulfill much of what we sought out to do. 

What's next for Beautify

In the near future, we hope to improve the functionality of Beautify even more to encourage collaboration among friends. In addition to expanding the use of the web API and database system, we hope to apply machine learning to a greater number of applications (due to Android Studio file size constraints, our trained model could not be implemented in the current version of Beautify). We hope to partner with local governments and environmental groups to further help clean up communities across the world, while providing greater rewards for users too.
","https://github.com/tashnash/tashnash.github.io, https://github.com/s10757821/BeautifyAPI, https://github.com/udejiofor-chidobem/Beautify",https://youtu.be/N6Kf20a4rlE,"Software Track, [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Creative Hack ","kotlin, mongodb, c#, .net, android-studio, visual-studio, tensorflow, python, google-directions, google-latitude",,Georgia Institute of Technology - Main Campus,2,no,no,no,yes
iPlanter: Autonomous Ground Monitoring & Tree Planting Robot,https://robotech2022.devpost.com/submissions/317809-iplanter-autonomous-ground-monitoring-tree-planting-robot,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 19:12:05,"Introduction & Motivation

In the next few decades, global agriculture will need to produce more food than it did in the previous ten thousand years in order to feed our growing population sufficiently. As the larger food demand on a daily basis, more sophisticated agriculture techniques should be implemented to (1) reduce the labor-intensive for farmers and (2) elevate the production of crops globally. To solve this problem and maintain sustainability for global food demand, we propose an autonomous robot, namely iPlanter, that can automatically capture on-ground images to identify the healthiness of grass on such surfaces and simultaneously plant seeds into the soil (iPlanter Final Product Mockup image).

Challenges

Such robots could assist farmers in plant-seeding and crop monitoring and could be used for large-scale deployment on big farms, especially in the U.S, where the typical farm size is 444 acres. Nevertheless, building such robots is difficult due to the following challenges:


The moving mechanism has to be precise and programmable since the distances between trees, later on, are crucial to their growth and reproduction.
The planting mechanism has to be well-perform since seeds should be buried at a specific depth depending on what kind of trees are planted.
The program should be programmable, making it easier for users to leverage the system for other kinds of trees.


Robot Car & Moving Mechanism

For the moving mechanism, we use the LAFVIN multi-functional smart car kit, with Arduino UNO R3, ultrasonic sensor, line-tracking sensor, and servo motors. Leveraging the ultrasonic sensors, we build a moving mechanism that could avoid unexpected objects without using a front camera. We also utilize the line tracking sensors to keep the car on a straight line while moving on a surface with a straight line, particularly in-door farming. Together with the provided sensors, the servo motors control the robot's wheels while the robot is moving on the flat surface. 

As our application is an agriculture-based application, the moving mechanism has to be a run then pause procedure. In such cycles, the pause period allows the robot arm to drop the seed into the soil properly before proceeding to the next location. Therefore, the pausing period is calculated carefully to map correctly to the desired distance for a particular kind of tree. The pseudocode is demonstrated below:
void loop() {
run();
delay(t);
}

Robot Arm & Planting Mechanism

For the plating mechanism, we use the LAFVIN 4-DoF Smart Robot Mechanical Arm Kit, with Arduino UNO R3, a mechanical arm, and a servo motor. In our prototype, we only use one MCU that integrates and controls both functionalities of the car and of the robot arm. As mentioned earlier, the planting mechanism has to be well-perform since seeds should be buried at a specific depth depending on what kind of trees are planted. In our demo, we assumed that we are planting flowers, so we put the seed directly on the soil as a trivial solution. The robot arm runs with two servo motors: one supports the arm's movement, and one supports the claw mechanism (grabbing the seed, etc.). The pseudocode is demonstrated below:
void loop() {
init_arm_pos();
move_arm_down();
move_arm_up();
}

On-ground Images Analyses

While on its path, iPlanter records footage of the grass with its equipped camera that is saved locally to an SD card. This allows the soil and land monitoring processes to be much easier because while previously there needed to be farmers on the field walking between trees to analyze soil, visual analysis can now be expedited based on the digital media that our robot is able to create. This footage will also perform the double duty of monitoring how the robot is performing regarding the soil working and seed planting processes, allowing us to improve the robot retroactively.

The resulting image is processed offline using Mathematica can be seen here.

Limitations & Future Works

Some of the limitations of our current system, along with future improvements, include the following items:


The images stored in an SD card could be transmitted wirelessly using LoRa communications. This kind of communication can broadcast signals over a long distance (unlike Wi-Fi or Bluetooth).
Batteries are used to power the robots; however, harvesting energy from the surrounding environment would be an applicable solution to make the system battery-less.
Due to the shortage of soil moisture sensors, our robot cannot utilize the soil moisture sensor as a metric to decide whether to seed. If that is the case, the soil moisture sensor will be located on the other side of the robot's arm and the collected sensed data will be processed immediately by the MCU.


Potential Applications

Broadly speaking, iPlanter system can be an agriculture-based application platform for some other potential applications, not only for agriculture but also for other aspects, in the future, including:


Planet probing and surface monitoring (such as Mars, Moon, etc.)
Battery-free tree planting/seeding robots
and many more...


Conclusions

In the theme of supporting sustainability farming to feed our growing population, iPlanter is a necessary development and will revolutionize how trees are planted, with implications in many industries such as the lumber industry as well as forestry. By making mass tree planting a reality, our robot will also enable projects such as creating new forests and replanting old forests that have historically been too expensive to try and rebuild. Because our platform is relatively simple, our solution, with little modification, could also be extended to many agricultural applications that could eventually aid farmers in performing the laborious farm work that currently requires human labor.

Acknowledgements

Thank you, IEEE GaTech, for being the host of Robotech '22, especially Ivan Torres (Virginia Tech), for helping us wiring and soldering electronic parts to make our project possible!

Source Code Availability

The source code of the design and the image processing algorithm can be found on Github.
",https://github.com/mkhangg/robotech22,https://youtu.be/GZ0oAX-lLSM,"Design Track, Software Track, [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Creative Hack , [Texas Instruments] Most Accessible Hack","arduino, adafruit, esp32, servo-motors, robot-arm, ultrasonic-sensor, line-sensor, mathematica, c/c++",,"University of Florida, The University of Texas at Arlington, Purdue University",3,no,no,yes,yes
"Hey Doc, Need a Hand?",https://robotech2022.devpost.com/submissions/317812-hey-doc-need-a-hand,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 19:28:14,"Inspiration

In light of recent/ongoing COVID epidemic, it has become clear that our nursing staff is not only invaluable in the duties they perform, but also heavily understaffed. To help reduce their workload, we wanted to create a robot that could help perform the duties of a surgical assistant.

What it does

Our robot is able to react to voice commands and bring the proper tools to the doctor.

How we built it

We used a robotic arm kit and connected it to an Arduino that could use serial communication to receive signals from a laptop running our speech detection programs. So whenever someone said the name of the tool they want, the machine learning algorithms running on the laptop would process the audio, and send the signal to the robot arm to pick up the correct tool using the gripper of the robot arm.

Challenges we ran into


We ran into issues with interfacing our machine learning algorithms with the Arduino. Since the Arduino didn't have the computing power that we needed, we had to create an indirect way to use our speech processing by having the laptop communicate with the Arduino.
We also had problems powering our electromagnet. The Arduino can only output a maximum of 5V, 
which is not enough to make a powerful electromagnet. So we thought of using a relay circuit that can be controlled by the Arduino, and can allow a larger voltage and current to flow through the electromagnet. Unfortunately we could not get a very powerful electromagnet thus we decided to go with the gripper instead.


We also wanted to use a camera to track the doctor's hands, so the robot would be guided to their hands to know where to drop the tools. We managed to develop a way to track the hand moment and determine the direction in which the arm should move but we had difficulties mounting a camera(difficulties with ESP32 CAM implementation) to the arm.

Accomplishments that we're proud of

We're proud of our robot arm's ability to move as a response to voice commands, and being able to accurately and consistently move how we want it to. We are proud of our build in the short amount of time we had and believe that this technology has several applications and is scalable.

What we learned

We learned a lot about serial communication with the Arduino, using computer vision to track objects,  and using speech processing to determine what commands are being spoken. We also learned a lot about the limitations of the Arduino and methods to bypass those limitations in other ways, like using a relay or using serial communication between our Arduino and a laptop.

What's next for Robotic Surgery Assistant

-We'd like to make the electromagnet on our robot stronger, so it could pick up heavier tools and faster. 
-For future versions of the robot,  we'd want to be able to implement the hand tracking technology so that our robot could use computer vision to track the doctor's hand and know where to deliver the tools to.
-We could also work on making our robot arm bigger and stronger so that it can pick up more and heavier tools even faster than it already could. 


Another aspect that can be improved upon is using object recognition to identify the various surgical tools to that labelling of the tools is not required.

",https://github.com/pshinde612/Robotech22,https://youtu.be/LVMl2ain-Rs,"Electrical Track, Software Track, [Texas Instruments] Most Creative Hack , [Texas Instruments] Most Accessible Hack","python, opencv, speechrecognition, c++, arduino",,Georgia Institute of Technology - Main Campus,3,yes,yes,no,yes
Improved Mentor Program,https://robotech2022.devpost.com/submissions/317821-improved-mentor-program,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 19:46:54,"Inspiration

a needs assessment and my health care classes

What it does

expands reach of mentorship program and improves communication channels

How we built it

My humongous brain

Challenges we ran into

finding an attainable project solution

Accomplishments that we're proud of

Getting the project done, bby!

What we learned

The process of developing an intervention is difficult

What's next for Behavioral sustainability

Experimentation
","",https://youtu.be/_62jtAXGzUU,Design Track,"english, powerpoint",,University of Georgia,0,no,no,yes,no
Wall-ace,https://robotech2022.devpost.com/submissions/317845-wall-ace,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 21:37:19,"We thought about ways to increase environmental sustainability. Being in the walls of Georgia Tech, we naturally thought of swarm robotics - something that GT leads the field in.

What if we could unleash a swarm to help us keep settings like public parks, amusement parks, and zoos clean? Just deploy them and rest assured the job will be done. They could also be used to rove and make sure trash levels don't exceed a certain threshold. That not only helps with cleanliness but improves the smell and air quality of any place fortunate enough to have our lovable robot crew.

The name came from the lovable robot WALL-E. The ace is a play on words that is meant to stand for sustainability :).

For this project, we could build one of those robots. That would entail:


Custom designed and manufactured parts ✅
Motors for travel and trash process ✅
Camera for navigation and object detection ✅
Optional:
Web interface to see the status of all the robots ✅
Other ways of communicating with the robots, like on-demand sms status requests ✅


Every part of the project was difficult, but building the electrical system of our robot was the toughest due to scarcity of materials. Motors and sufficient battery power were of short supply.

The software was built using a variety of technologies.

Message passing using sockets, object detection, and raspberry pi communication was done with Python.
Web server, React frontend, and sms functionality was done with Javascript.
Hardware controlling was done with an Arduino.
","",https://www.youtube.com/watch?v=ay9rPdHh9XQ,"Body Track, Electrical Track, Design Track, Software Track, [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Accessible Hack","c, arduino, c++, javascript, solidworks, cura",,"Clemson University, Georgia Institute of Technology - Main Campus",3,yes,yes,yes,yes
eBin,https://robotech2022.devpost.com/submissions/317886-ebin,Submitted (Gallery/Visible),Pending,Submit,04/02/2022 23:55:54,"Inspiration

After an event, perhaps after this event too, the various trash and recycling bins around CULC and Klaus are inundated with both trash and recycling. It can't be helped with so many people. Unfortunately, that leads to trash in the recycling bins and recycling in the trash bins, defeating the purpose of having four bins in a row and rendering them all trash bins. Moreover, some items are hard to classify which bin they should go in and often times, items are thrown in all together under the name of recycling, leaving no opportunity to sort them out.

Fear not, we've prototyped a solution: a single bin that sorts itself: the eBin. No longer do people have to think about whether a napkin goes into the mixed paper section or the trash section; all they have to do is throw it in the bin, and the bin does the rest.

What it does

We reinvented the classic trash can, compartmentalizing with wood, four sections for different types of waste: plastic bottles, paper, aluminum cans, and general waste. Above the sections is a rotating filter that turns to where each type of waste should go depending on what the ESP32 Cam sees. The camera communicates through wifi sockets to a computer that analyzes the stream of information in real time and sends back to the smart bin system which section it should turn to.

How we built it

We took a trash can and added electronics and wood and cardboard to it. More specifically, we lasercutted plywood, MDF wood, and cardboard to make the main internal structure. For electronics, we used breadboards, wires, resistors, and jumper cables combined with an ESP32 Cam, Arduino Nano, stepper motor, stepper motor driver, RBG LED to make the embedded system.

Challenges we ran into

As we developed our smart bin, we ran into issues relating to the physical limitations of our breadboard and ESP32. Our arrangement of devices on the breadboard was restricted by its size, and the number of peripherals we could use was restricted by the number of GPIO pins the ESP32 microcontroller has.

Come time to manufacture the bin's architecture, it was a daunting, steep-learning curve for us ECE majors to build from scratch. With just raw material and cumulatively negligible experience, we took to the Invention Studio to lay out and model the compartments, filter assembly, and lid. AJ, the really awesome PI, really pulled through in teaching us the ropes of Solidworks and guiding us through water-jetting and laser-cutting procedures.

On the less physical side, Arduinos are very finicky when it comes to flashing programs onto chained microcontrollers (our ESP32). It was tough figuring out the precise sequence of actions needed to properly load programs in.

On the software side, we initially had challenges setting up OpenCV as many of us had never worked with it. Luckily, documentation and other internet resources helped us push past the initial set up as we learned a smidge about Deep Learning Neural Networks and how to use pre-trained models as classifiers for our recycling bin. In addition, setting up websocket connections was a struggle, likely due to firewalls preventing connection.

Accomplishments that we're proud of

We are proud of creating such a clean yet functional product in the span of a weekend. Not only is the design physically appealing (which definitely surpassed our initial intentions of cardboard-mania), but our CV waste detection performed pretty well. Plus, watching it rotate to the proper section is very satisfying.

What we learned

It was our first time using SolidWorks and EAGLE to make designs. Moreover, it was our first time using lasercutters and waterjets to make the lid and compartments of our bin. Three-fourths of us had had little to no experience with OpenCV. And half of us thought ESP32 was a type of superglue.

What's next for RoboGech

Refining our product


More refined object detection and specialized sorting.
Fine-tuning the YOLO model for commonly thrown out recyclable items. 
Developing future versions with different material compartments (like plastic or metal).
Upgrading the stepper motor to turn faster and more precisely.
Scaling the product size for commercial buildings or outdoor use.


Future features to consider


Audio indicators that the bin has configured itself appropriately to the waste.
Tracking bin fullness levels with ultrasonic sensors.

",https://github.com/BZhu792/roboGech,https://youtu.be/CA31a6bDuWo,"Body Track, Electrical Track, Design Track, Software Track, [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Creative Hack , [Texas Instruments] Most Accessible Hack","esp32, arduino, python, solidworks, waterjet, lasercutter, opencv, c++, rtos",,Georgia Institute of Technology - Main Campus,3,yes,yes,yes,yes
Amphibious Vehicle,https://robotech2022.devpost.com/submissions/317888-amphibious-vehicle,Submitted (Gallery/Visible),Pending,Submit,04/03/2022 00:05:46,"Inspiration

While researching sustainability, we noticed a problem. The existence of numerous aquatic robots with the job of picking up trash, yet none were autonomous, requiring more manpower to clean up bodies of water than what was available. We also came across the Amphibious Velox, a robot using undulation to swim efficiently in bodies of water. Immediately we thought of converting this robot into an autonomous trash collector that could cruise through any body of water.

What it does

Our product is designed to collect trash from bodies of water it is deployed in, sort that trash into recyclable and non-recyclable material, and finally return back to a marked drop off site to unload this trash once full.

Challenges we ran into

Some challenges we ran into while designing this product included trying to properly architect mechanical solutions for the requirements we imposed on the product, trying to reduce the complexity of software used in the robot, and piece together our robot in the most efficient way possible.

Accomplishments that we're proud of

We are proud to have come up with an accurate cost for our product as well as a strong business model. We are also proud to have been able to architect mechanical solutions to almost all cases we wanted the robot to succeed in.

What we learned

We learned just how difficult the design process in. It takes a plethora of patience, innovation, and creativity to design something that operates very efficiently. We also learned more about water pollution around the world and how huge of a problem it has grown into. 

What's next for Amphibious Vehicle

Our next steps for the Amphibious Vehicle are to start setting up a machine learning model for the trash sorting portion, and train it. We would do this while building an initial prototype of the robot.
",https://docs.google.com/presentation/d/1jsmWHcoDPjEv4ThnVr1m08SCEygFHgfl/edit?usp=sharing&ouid=105659361975543510171&rtpof=true&sd=true,https://www.youtube.com/watch?v=mZJ6yAndfCo,"[Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Creative Hack , [Texas Instruments] Most Accessible Hack","java, python, tensorflow, opencv",,"University of North Florida, Georgia Institute of Technology - Main Campus",1,no,no,yes,no
Streamline,https://robotech2022.devpost.com/submissions/317894-streamline,Submitted (Gallery/Visible),Pending,Submit,04/03/2022 00:15:55,"Inspiration

Back in 2021, a collaborative effort known as #TeamSeas raised 30 million dollars for the purpose of removing 30 million pounds of trash from the world's oceans. Interested in seeing how this was actually going to happen, I looked into the company slated to do the physical heavy lifting of plastic out of the Great Pacific Garbage Patch. Fast forward to RoboTech 2022, where the core idea is sustainability, and I figured, nothing is more sustainable than caring for the future health of our oceans and rivers. So my teammate and I decided to put our heads together for the good of neither money nor fame, but the fishes—just like our non-profit, The Ocean Cleanup, does everyday—and support them in their endeavor to protect the oceans of the future. To check out the original #TeamSeas and The Ocean Cleanup collaboration video, check out this link. 

What it does

While The Ocean Cleanup already has several units deployed, they openly admit to a few problems with their current designs on their website, such as jamming due to congestion, and as of right now, their sole goal is cleaning up trash, as they fully aligned their interests with #TeamSeas
We believe that we can implement a few clever designs that solve some of the problems that they are currently facing, specifically the clogging of their garbage collection machines due to congestion, as well as implement our own system as an add-on to their Interceptor that helps them soak up oil from these heavily polluted rivers on top of collecting trash. 

How we built it

Since a lot of our designs are based on existing machinery, we spent a large portion of our allotted time analyzing the function and potential problems of The Ocean Cleanup's fleet of aquatic vehicles (the most notable of which is called the Interceptor), and using SolidWorks to model these machines as well as any changes or additional components we would like to implement. We designed our enhanced trash recovery system on account of the Interceptor clogging up whenever heavy rains wash increased levels of waste downstream. We also came up with an oil collection and separation method that can skim the surface of the water and collect most floating oil and direct it into a chamber where the oil and river water can be further separated. 

Challenges we ran into

Since a lot of our original ideas were an addendum to the Interceptor's base design, we first had to roughly model the actual Interceptor (and all of its components) in SolidWorks. Only then could we show how our components are integrated into the overall design. The sheer amount of computer aided design we had to do for the visualizations of this project to come to life ended up proving very challenging, but in the end, we pushed through it, and were able to fully render our final products. 

Accomplishments that we're proud of

It's not every day you find a direct application of something you learn in lecture, but when you do, it feels glorious. We read a report that during a really heavy storm, strong river currents actually ended up bending and damaging an anchor used to secure the Interceptor ship in place. In our improved design, we employed the concept of dual shear (taught in Deformable Bodies) in order to significantly strengthen the anchor. Needless to say, we were quite proud. 

What we learned

The CEO and founder of The Ocean Cleanup is a man named Boyan Slat. He recounts being out on a diving trip once, when he saw more plastic bags floating around than fish. Horrified but in equal amounts inspired, he spent a few years in high school researching the 5 great garbage patches around the globe, and gave a TED talk about his findings. When this TED went viral and people responded with their support, Slat dropped out of college to pursue this idea full time. Through this story, if nothing else, we learned that change will come, but only if you are willing to make it happen. 

What's next for Streamline

While working on this project, we honestly felt like we were part of the team at The Ocean Cleanup. We did in depth research on all of their equipment, brainstormed alternatives, documented possible improvements, and implemented the most impactful changes we could devise—all in the spirit of a non-profit—for free! We hope that we can continue finding improvements for aquatic reclamation projects, no matter how big or small. And who knows, maybe, just maybe, our work will be noticed and recognized by The Ocean Cleanup :)
","",https://www.youtube.com/watch?v=P-uMJnOA8nE,Design Track,"solidworks, powerpoint, google-docs, youtube",,Georgia Institute of Technology - Main Campus,1,no,no,yes,no
Peaches Save the World,https://robotech2022.devpost.com/submissions/317913-peaches-save-the-world,Submitted (Gallery/Visible),Pending,Submit,04/03/2022 01:02:29,"Inspiration

In the future, we can see that as the population grows food becomes a more and more common issue. Many processes have been automated within agriculture, for example, the watering of plants is completely automated. But one process in agriculture that has seen no automation is harvesting fruit from trees. Thus we wish to take the first step in automating this process by designing a way to automate the upkeep and yield of these trees.

Why automate tree pruning?:


Every year the population grows larger by exponential amounts thus creating more demand for crop yield. As of 2021 currently, over 40% of the Earth's inhabitable land is dedicated to agriculture. Pruning of trees is extremely important in making the amount of space the tree take up optimal all while bearing the most fruit. Pruning also encourages healthy growth and structure all while increasing quality of fruit and the lifespan of the tree. Having extra space on farmland is an artifact of pruning. With this extra space, farmers have more room to grow more crops in order to meet the demands of the growing population.
Pruning trees is a very tedious, time-consuming, dangerous, and tiring process. Many farmers do not like this process. Farmers will dedicate months of their time just to prune trees. This automated process will assist farmers in the labor-intensive process all while making it safer for them.
The automation of tree pruning will allow for a greater yield when harvesting. Not only that but it will actually increase the quality of fruit being yielded, whether it is bigger and/or sweeter fruit. Greater volumes of higher-quality fruit will also leave an everlasting impact on our world economy. Crops will be more affordable to everyone as automating this process will save time and money.


What it does

By using lidar scans and a Matlab library called TreeQSM, we can transfer lidar scans into a point cloud and then contextualize them into cylinders representing a tree. Following that we have automated the process to identify what branches to remove and in turn how to prune the tree.

How we built it

Utilizing lidar scans we collected from a lab at UGA we constructed an algorithm in order to execute an open-center prune. We did this by researching the ways people currently prune trees and found the one that was most common and easily implementable. We then used Matlab to translate the point cloud from the lidar scans into cylinders representing a tree and ported those over to python using Open3D. Following that we could finally prune the tree, which we did by using a geometrical and mathematical mixture for our algorithm. We applied an ellipse as a basic way to cut down the center of the tree then calculated for branches that needed removal and took them out. By using these methods we have found a way to automatically calculate how we should prune trees, this will allow us to now program robots to automate the process of pruning trees.

Challenges we ran into

A major challenge was transporting the data from the TreeQSM model we found in the Matlab model back to python. The majority of the issue we ran into was the fact that we received Euclidean vectors as an output from the produced cylinders in Matlab. But we required rotational matrices in order to place rotate the cylinders after translating them. But after a lot of linear algebra review, we were able to create a method to translate our euclidean vectors back into a rotational matrix.

Accomplishments that we're proud of

We're proud of the speed with which we were able to design a rough algorithm to prune peach trees. Not only that but when viewing it with only our eye we can easily see a strong resemblance to images of pruned peach trees. But we wish to cross-reference these images with those who are experienced in agriculture in the future.

What we learned

During this process, we were able to apply our knowledge of computer science and mathematics to a topic that was challenging. This was a topic rarely ever explored so it felt good being able to accomplish a great deal from uncharted territory. We believe this has never been done before and we are the first to do it. We learned not only about a plethora of peachtree pruning techniques but also tons of new API's and frameworks such as TreeQSM, PyQT5, and Open3D. 

What's next for Peach Tree Pruner

Our next goals are to achieve not only a more efficient peach tree pruning method but to also build a model that can accurately predict peach tree growth. By doing this we can optimize the space we place peach trees in and perfectly prune them relative to that space in order to maximize our yield on peachtree farms.
",https://github.com/alandangg/peach,https://youtu.be/v8Zg6ukydrs,"Design Track, Software Track, [Texas Instruments] Most Sustainable Hack, [Texas Instruments] Most Creative Hack , [Texas Instruments] Most Accessible Hack","python, matlab, treeqsm, pyqt5, open3d, raytracing, big-data, numpy",,"De Anza College, Georgia State University, Georgia Institute of Technology - Main Campus",3,no,no,yes,yes
EcoBud,https://robotech2022.devpost.com/submissions/317929-ecobud,Submitted (Gallery/Visible),Pending,Submit,04/03/2022 01:25:02,"Inspiration

n/a

What it does

How we built it

Challenges we ran into

Accomplishments that we're proud of

What we learned

What's next for EcoBud
","",https://www.youtube.com/watch?v=dQw4w9WgXcQ,"",n/a,,Georgia Institute of Technology - Main Campus,0,no,no,no,no
SAPS,https://robotech2022.devpost.com/submissions/317931-saps,Submitted (Gallery/Visible),Pending,Submit,04/03/2022 01:27:36,"Inspiration

Millions of people shop online, especially on Amazon. Our culture has a strong affinity for hyper consumerism. We wanted to create a product that might help fight and reduce the amount of negative environmentally impact products being sold day-to-day.

What it does

SAPS analyzes your potential Amazon purchases and suggests alternative products that are better for the environment, if applicable.

How we built it

We built it using Javascript, HTML, and CSS.

Challenges we ran into

Our main challenge we ran into was learning Javascript, HTML and CSS  as most of our previous experience was in Python and C++, MATLAB.

Accomplishments that we're proud of

We didn't know Javascript, HTML or CSS before this project and we were able to learn a lot in the past day to create the extension.
We designed a logo from scratch.
We did research on hyper consumerism.
And we were able to go to the workshops and learn as much as we could. 
We're proud of our work over this weekend as this was our first time using and implementing an extension.

What we learned

We learned how to use Javascript and create a chrome extension.

What's next for SAPS

Next, we will continue to add functionality and polish our very first release of the extension.
",https://github.com/KewalKalsi/sustainable-products-extension,https://youtu.be/YRzorl42tmM,"","javascript, html, css, github",,Kenneaw State University,1,no,no,no,yes
NoTrashBot,https://robotech2022.devpost.com/submissions/317947-notrashbot,Submitted (Gallery/Visible),Pending,Submit,04/03/2022 01:56:58,"Inspiration:

One of the biggest impediments to sustainability is trash. As the amount of trash ever grows with rising human consumption, the environment suffers as a result. Pollution, deforestation, and danger to wildlife are just some of the disastrous side effects. Hence there is an urgent need to handle the collection of trash, especially plastic and safely recycle it. 

However, could be very hazardous for us humans to handle trash material. It is very expensive to have humans clear litter in the streets, because of increasing wages for humans, and also the usage of human resources for a task that could have been handled by a robot. The human’s time is much better off contributing to the economy using his/her creativity and something which cannot be achieved using AI.

What it does:


The robot needs to be able to clearly visually distinguish whether material is trash or not, and then get the exact dimensions of the material to determine the best grasping position
Trash can come in highly varying shapes, sizes, and colors, and hence detecting the presence of a rubbish object is not a trivial task
Also, since cleaning up is a highly repetitive task, there is huge scope for automation. It also could be grueling in terms of physical effort needed, so it could be done much better by a robot
The robot scans each object in its environment indicates its confidence level that the object detected is a piece of garbage, and that inference is visually depicted using different colored LED lights


How we built it:

Instance Segmentation associates each pixel of the image with an instance label which is used to identify the objects from the background and also mark the exact boundary of each instance of the object present in the image. Faster R-CNN (Region-based Convolutional neural network) is a commonly used neural network architecture used to predict the bounding boxes of the objects and their labels. Mask R-CNN which extends Faster R-CNN by having another branch that predicts the object mask.
Here, we use Mask R-CNN to perform instance segmentation to analyze the image obtained from the camera mounted on the robot to identify the pixels in the image that contain trash. 

Zero-shot learning is gaining popularity due to its generalizability. Usually, the model is pre-trained on large state-of-the-art datasets. The model predicts unseen data without any fine-tuning. This saves computational time and resources. It is also difficult to gather large amounts of labeled data, especially for tasks like trash detection and segmentation where the heavy annotation is involved. Zero-shot learning has proven to perform better than trained models through research like Open.ai’s CLIP. We observe that the pre-trained Mask R-CNN model with a ResNet-50 backbone detected bounding boxes and produced heatmaps significantly well for TACO dataset images with zero-shot capabilities. This is attributed to the ability of the model to generalize on out-of-domain data with prior generic knowledge. 

Challenges we ran into:


Since trash could come in different shapes and sizes, we would need a huge dataset with a huge variety of objects for the best training results. So essentially, our model is limited by the data available for training.
We wanted to get the real-time video input of surroundings using the ESP-32 cam wifi module, but we had trouble since the voltage supplied by the USB port in the laptop was not sufficient and we were running into errors. A possible way to address this is by connecting it to a DC external power source (not the laptop USB port), but we were unable to get access to that during the time of the hackathon


Accomplishments we’re proud of:

Developing a full-stack solution of training a deep neural network - computer vision model and using that to perform inference on a real-time feed. Further, we controlled the switching of one of three LED’s corresponding to the probability of the prediction that it is trash. Use ‘Red’ to indicate high probability, ‘yellow’ for medium, and ‘green’ for a clean no-trash scenario.

Also, the model even works well in low-light scenarios as depicted in our demo video.

What we learned:

We gained hands-on experience using a Computer Vision-based approach to solve a real-world problem and integrating it with the Arduino. By going through research papers in this domain, we got to know about the current state-of-the-art approaches. We also learned how to plan effectively and manage time efficiently in order to complete a project within a short amount of time.

Further Work / Future Directions:

We have interfaced the output prediction of our model to a microcontroller. The next step will be to integrate it with a robotic gripper arm mounted on a navigator robot base. Visually we have solved the problem of identifying trash. However, it is still a challenge for the robotic arm to be able to pick up. For this, we will use Reinforcement Learning techniques from the paper QT-Opt to enable the robot to generalize to new objects and pick them effectively, robust to external disturbances too. We can also consider training a CNN model to predict the best position in which the object could be grasped in such a way that the object is well balanced and doesn’t slip from the gripper.

This work has the potential to clean up secluded and potentially risky areas such as forests where trash could lead to disastrous long-term outcomes such as danger to wildlife, deforestation, and flooding. Deploying a robot here to handle the collection would be a step closer to sustainable development. 
",https://github.com/amirtha255/Robotech,https://youtu.be/r8FNOTmElFY,"","python, c, arduino, pytorch, opencv",,Georgia Institute of Technology - Main Campus,3,no,yes,no,yes
